Rank,Username,Country,Followers,Views,Likes,Engagement,Brand Account,Gender,Age,Ethnicity,Famous,Genre,LGBTQ
1,@charlidamelio,U.S.A,78.9m,38.3m,6.1m,16.60%,0,Female,16,White,0,"Dancing, Lipsyncing, Lifestyle",0
26,@tiktok_india,India,24.2m,2.3m,153.2k,6.90%,1,,,,1,,
134,@linhbarbie,Vietnam,12.3m,1.0m,168.5k,17%,0,Female,,Southeast Asian,0,"Lipsyncing, Acting",0
224,@vivekkeshari1,India,9.2m,540.6k,82.3k,16%,0,Male,24,South Asian,0,Motivational Speaking,0
254,@rahimabram,Russia,8.6m,1.6m,271.2k,17%,0,Male,22,White,1,"Lipsyncing, Promotion, Lifestyle",0
